"","id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","work_with_offices_clients_abroad","role_in_organisation...Selected.Choice","role_in_organisation...Other..please.specify....Text","gender","year_of_birth","region","country","ethnicity","ethnicity_other","languages_spoken","countries_abroad_count","countries_abroad_oc","organisational_affiliation_years","workplace_diversity","pql_stimulating_challenges_imp","pql_flexible_imp","pql_weaknesses_imp","pql_manage_emotions_imp","pql_ease_differing_views_imp","pql_stimulating_challenges_exp","pql_flexible_exp","pql_weaknesses_exp","pql_manage_emotions_exp","pql_ease_differing_views_exp","cui_understand_culture_communication_imp","cui_noticing_ways_imp","cui_mixing_socially_imp","cui_learn_foreign_phrases_imp","cui_understan_values_beliefs_imp","cui_understand_culture_communication_exp","cui_noticing_ways_exp","cui_mixing_socially_exp","cui_learn_foreign_phrases_exp","cui_understan_values_beliefs_exp","trl_trust_imp","trl_respect_viewpoints_imp","trl_feeling_part_of_team_imp","trl_support_each_other_imp","trl_know_personally_imp","trl_trust_exp","trl_respect_viewpoints_exp","trl_feeling_part_of_team_exp","trl_support_each_other_exp","trl_know_personally_exp","com_understand_each_other_imp","com_adjusting_language_imp","com_everyone_contributes_imp","com_say_what_you_want_imp","com_listen_to_others_imp","com_clarify_issues_imp","com_account_for_different_language_levels_imp","com_understand_each_other_exp","com_adjusting_language_exp","com_everyone_contributes_exp","com_say_what_you_want_exp","com_listen_to_others_exp","com_clarify_issues_exp","com_account_for_different_language_levels_exp","lmg_handle_opinions_imp","lmg_negative_feedback_imp","lmg_personal_circumstances_imp","lmg_varying_management_style_imp","lmg_motivating_staff_imp","lmg_handle_opinions_eoh","lmg_negative_feedback_eoh","lmg_personal_circumstances_eoh","lmg_varying_management_style_eoh","lmg_motivating_staff_eoh","tmg_clear_goals_imp","tmg_divide_responsibilities_fairly_imp","tmg_peoples_strengths_imp","tmg_ethical_standards_imp","tmg_making_decisions_imp","tmg_keeping_time_imp","tmg_elicit_ideas_imp","tmg_clear_goals_eoh","tmg_divide_responsibilities_fairly_eoh","tmg_peoples_strengths_eoh","tmg_ethical_standards_eoh","tmg_making_decisions_eoh","tmg_keeping_time_eoh","tmg_elicit_ideas_eoh","lao_manage_change_imp","lao_persuade_leaders_new_ways_imp","lao_local_contextual_factors_imp","lao_recruiting_people_imp","lao_combine_different_viewpoints_imp","lao_manage_change_eoh","lao_persuade_leaders_new_ways_eoh","lao_local_contextual_factors_eoh","lao_recruiting_people_eoh","lao_combine_different_viewpoints_eoh","oc","opp","Q_TotalDuration","Q_CHL","isNew","V","rid","RISN","test2","gc","term","manager","missing"
"102",102,"17/01/2019 16:29","17/01/2019 16:41",0,"79.215.228.116",100,741,1,"17/01/2019 16:41","R_1IEPczdC6VQqJDI",NA,NA,NA,NA,48.23330688,11.68330383,"anonymous","EN","consent_academic,consent_teaching",2,"Entrepreneur",NA,"Female","1978","Europe","Germany","White",NA,"3",1,NA,"4 years","diversity_part_of_organisation",5,5,2,6,5,5,4,1,5,4,4,5,4,5,5,5,4,4,5,5,6,5,6,6,5,4,4,5,4,4,6,5,6,6,6,5,4,5,5,5,5,6,5,4,5,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,5,6,5,5,6,5,4,5,5,5,6,5,6,2,4,4,3,4,NA,"Qual2514-0709Const2",741,"anonymous",NA,"H","5c40ad4b-7586-4af0-81f3-a0ed2fe817c4",NA,NA,1,NA,"yes",0
"103",103,"17/01/2019 16:37","17/01/2019 16:41",0,"188.192.150.162",100,256,1,"17/01/2019 16:41","R_2rkzW7B0ENXhS7s",NA,NA,NA,NA,48.40510559,12.75750732,"anonymous","EN","consent_academic,consent_teaching",5,"Entrepreneur",NA,"Male","1980","Europe","Germany","White",NA,"2",1,NA,"more than 20 years","diversity_language",5,6,5,5,6,5,5,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6,5,5,6,5,6,5,5,5,5,6,5,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,5,6,5,6,5,5,NA,"Qual2514-0709Const2",256,"anonymous",NA,"H","5c40af30-e09f-4c2e-986a-53ccba7f4c7e",NA,NA,1,NA,"yes",0
"106",106,"17/01/2019 16:37","17/01/2019 16:44",0,"65.204.4.101",100,416,1,"17/01/2019 16:44","R_pzLoDSh9HA1qdSp",NA,NA,NA,NA,41.04989624,-73.77760315,"anonymous","EN","consent_academic,consent_teaching",6,"Skilled work/Office work",NA,"Female","before 1960","Americas","US","White",NA,"1",1,NA,"14 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation",3,5,4,5,4,3,5,3,4,4,4,4,6,5,3,4,4,6,5,3,6,6,6,6,3,6,6,6,6,3,6,3,5,5,6,5,4,6,3,5,4,6,5,4,6,4,6,NA,5,6,4,5,NA,6,5,5,4,6,5,6,5,5,6,4,6,6,6,6,NA,4,NA,NA,6,3,4,NA,NA,6,NA,"Qual2514-0709Const2",416,"anonymous",NA,"H","5c40af33-22b7-458f-af2d-f60acae99973",NA,NA,1,NA,"no",2
"107",107,"17/01/2019 16:37","17/01/2019 16:45",0,"148.252.128.216",100,473,1,"17/01/2019 16:45","R_2xK70mxS5em3kWM",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Female","1966","Europe","UK","White",NA,"3",4,"USA; France; Germany; Spain","11 years","diversity_education,diversity_part_of_organisation,diversity_experience",1,4,2,6,6,6,6,6,6,6,3,3,3,6,4,5,6,5,2,5,6,6,4,6,1,3,6,5,6,5,6,6,4,4,5,6,4,6,6,4,1,6,6,4,6,6,6,6,6,5,5,4,5,4,5,6,5,6,5,6,5,3,5,4,6,5,6,3,3,5,6,NA,6,3,4,5,NA,6,"No additional comments thank you ","Qual2514-0709Const2",473,"anonymous",NA,"H","5c40af5e-718f-4dda-85ab-adaf06a7f1eb",NA,NA,1,NA,"yes",0
"108",108,"17/01/2019 16:35","17/01/2019 16:45",0,"86.138.240.98",100,616,1,"17/01/2019 16:45","R_sogMrlujfDRK9Nv",NA,NA,NA,NA,51.06950378,-0.361404419,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Female","1980","Europe","UK","White",NA,"1",1,"IUK","8 years","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",5,5,4,6,5,5,4,5,5,5,5,5,5,2,6,4,5,4,2,5,6,5,5,6,5,5,5,4,5,5,5,5,5,5,6,6,4,5,4,4,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,6,5,5,4,5,4,5,5,5,4,4,4,4,5,4,5,3,4,3,4,5,NA,"Qual2514-0709Const2",616,"anonymous",NA,"H","5c40aed4-b761-4dd4-98aa-e74a2143fcce",NA,NA,1,NA,"yes",0
"109",109,"17/01/2019 16:43","17/01/2019 16:46",0,"89.241.59.71",100,176,1,"17/01/2019 16:46","R_AiKfIBRQqtBU4N3",NA,NA,NA,NA,53.1499939,-0.399993896,"anonymous","EN","consent_academic,consent_teaching",2,"Entrepreneur",NA,"Male","1989","Europe","UK","White",NA,"1",5,"Unsure","10 years",NA,4,4,4,4,4,3,3,4,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Unsure","Qual2514-0709Const2",176,"anonymous",NA,"H","5c40b0b8-42fc-4475-8f3e-cdef457c9280",NA,NA,1,NA,"yes",0
"111",111,"17/01/2019 16:40","17/01/2019 16:48",0,"86.172.112.216",100,483,1,"17/01/2019 16:48","R_32PHGowL66b9OIY",NA,NA,NA,NA,51.46429443,-0.011901855,"anonymous","EN","consent_academic,consent_teaching",6,"Top Management (with responsibilities for one or more managers)",NA,"Male","before 1960","Europe","UK","White",NA,"1",4,"Philippines
USA
Dubai - UAE
England (for most of my life)","more than 20 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,6,6,6,6,4,5,6,5,5,4,6,3,6,4,3,6,3,6,6,6,6,6,4,6,6,6,3,4,5,6,3,4,6,6,6,6,4,2,5,6,6,4,6,6,6,6,5,4,4,5,5,4,5,5,5,6,6,5,6,5,4,6,6,6,5,6,6,6,6,5,5,2,3,3,2,4,"My company employs about 50,000 staff - as a VP I have had experience of managing up to 3,500 staff therefore a lot of these traits are evident and of crucial importance.","Qual2514-0709Const2",483,"anonymous",NA,"H","5c40b007-0d2a-46ae-a1ad-1fd1a13c9f19",NA,NA,1,NA,"yes",0
"112",112,"17/01/2019 16:46","17/01/2019 16:49",0,"88.96.192.193",100,225,1,"17/01/2019 16:50","R_XvM0itd0K4VZdXX",NA,NA,NA,NA,53.91799927,-2.016601563,"anonymous","EN","consent_academic,consent_teaching",3,"Middle (with subordinates/line-reports)",NA,"Male","1970","Europe","UK","White",NA,"1",1,NA,"13 years","diversity_education,diversity_part_of_organisation",4,4,4,4,4,4,4,4,3,4,4,2,4,2,4,2,3,3,2,2,6,4,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,2,4,4,3,3,3,3,4,3,NA,"Qual2514-0709Const2",225,"anonymous",NA,"H","5c40b150-0e51-431d-8d23-7094cfee0954",NA,NA,1,NA,"yes",0
"114",114,"17/01/2019 16:46","17/01/2019 16:50",0,"2.122.7.20",100,212,1,"17/01/2019 16:50","R_31i8RQOatcRuClH",NA,NA,NA,NA,51.47390747,-0.093795776,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Male","1986","Europe","UK","Black",NA,"1",1,NA,"5 years","diversity_culture,diversity_part_of_organisation",4,5,4,4,5,4,5,4,4,5,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,4,4,3,3,4,3,4,4,4,3,3,4,3,4,3,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,5,4,5,4,4,4,4,5,"its nice","Qual2514-0709Const2",212,"anonymous",NA,"H","5c40b159-a2bc-4aa2-a345-21a6a06bb677",NA,NA,1,NA,"no",0
"115",115,"17/01/2019 16:48","17/01/2019 16:51",0,"81.105.95.191",100,143,1,"17/01/2019 16:51","R_3e9LQCm82VxcUAf",NA,NA,NA,NA,51.37390137,0.488296509,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Male","1995","Europe","UK","Mixed race",NA,"1",1,NA,"3 years","diversity_culture,diversity_language",5,5,4,3,5,4,5,4,3,5,4,4,5,4,3,4,3,3,4,2,6,5,6,5,4,4,4,2,3,3,6,5,3,3,4,4,5,6,4,5,3,3,4,3,5,6,3,3,5,5,6,3,2,4,4,6,4,6,5,5,2,5,4,3,5,2,2,5,4,5,5,5,5,6,4,4,3,6,"You know don’t ttfg","Qual2514-0709Const2",143,"anonymous",NA,"H","5c40b1ee-2741-43aa-942b-67593ff79e37",NA,NA,4,"speeder","yes",0
"116",116,"17/01/2019 16:46","17/01/2019 16:52",0,"82.34.172.31",100,359,1,"17/01/2019 16:52","R_XXpYxnlikR4nEsh",NA,NA,NA,NA,53.82009888,-1.570404053,"anonymous","EN","consent_academic,consent_teaching",3,"Top Management (with responsibilities for one or more managers)",NA,"Male","1960","Europe","UK","White",NA,"1",1,NA,"1 year","diversity_culture",5,5,6,6,6,2,2,3,2,2,6,6,6,6,6,3,4,4,3,3,6,6,6,6,6,5,6,5,6,5,6,6,5,5,5,6,6,4,4,4,4,3,3,4,6,5,5,6,6,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,4,5,"nothing","Qual2514-0709Const2",359,"anonymous",NA,"H","5c40b174-20f1-4295-bb2c-91483331b8c7",NA,NA,1,NA,"yes",0
"117",117,"17/01/2019 16:43","17/01/2019 16:53",0,"99.116.162.92",100,552,1,"17/01/2019 16:53","R_2XbbFdadZstHovt",NA,NA,NA,NA,25.65739441,-80.36270142,"anonymous","EN","consent_academic,consent_teaching",3,"Middle Management (no subordinates/line-reports)",NA,"Female","1974","Americas","US","Asian",NA,"2",2,"Japan","10 years","diversity_culture,diversity_language,diversity_education,diversity_experience",5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,3,6,5,6,5,5,4,5,6,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,5,5,6,5,5,5,4,5,5,NA,5,5,5,4,5,5,5,4,NA,5,5,"No","Qual2514-0709Const2",552,"anonymous",NA,"H","5c40b0bf-753a-4d39-9b62-c8a1a44cf0dd",NA,NA,1,NA,"yes",1
"118",118,"17/01/2019 16:46","17/01/2019 16:53",0,"86.173.81.204",100,395,1,"17/01/2019 16:53","R_32QplCpO0RxCJgc",NA,NA,NA,NA,51.96510315,-0.391693115,"anonymous","EN","consent_academic,consent_teaching",3,"Top Management (with responsibilities for one or more managers)",NA,"Female","1990","Europe","UK","White",NA,"2",2,"France","8 years","diversity_culture,diversity_language,diversity_education,diversity_experience",6,6,6,6,6,5,4,5,5,5,6,6,6,6,6,5,5,5,5,5,6,6,6,6,4,5,5,5,5,3,6,5,6,4,6,6,6,4,5,5,5,5,5,5,6,6,6,6,6,5,5,5,6,5,5,6,6,6,6,6,6,3,5,5,6,4,4,5,6,5,6,4,6,4,5,5,4,5,NA,"Qual2514-0709Const2",395,"anonymous",NA,"H","5c40b164-1d4e-4527-a69a-a4ccc6c5132a",NA,NA,1,NA,"yes",0
"122",122,"17/01/2019 16:57","17/01/2019 17:02",0,"151.230.155.147",100,294,1,"17/01/2019 17:02","R_vqULSf91ru59GBX",NA,NA,NA,NA,53.81069946,-1.635406494,"anonymous","EN","consent_academic,consent_teaching",5,"Apprenticeship/Trainee/Junior employee",NA,"Female","1988","Europe","UK","White",NA,"1",1,NA,"less than 1 year","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,6,6,4,4,6,6,6,4,6,6,6,4,6,4,5,4,1,6,6,5,6,6,6,4,5,4,4,6,6,5,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,4,1,6,NA,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,1,1,3,NA,3,NA,"Qual2514-0709Const2",294,"anonymous",NA,"H","5c40b3f9-3179-4501-b340-54c827726dc6",NA,NA,1,NA,"no",1
"123",123,"17/01/2019 16:56","17/01/2019 17:02",0,"75.185.209.149",100,375,1,"17/01/2019 17:02","R_3fGM4RptXJAPF64",NA,NA,NA,NA,39.74259949,-84.65080261,"anonymous","EN","consent_academic,consent_teaching",6,"Entrepreneur",NA,"Female","1981","Americas","US","White",NA,"1",0,NA,"11 years","diversity_experience",6,5,3,6,4,6,5,2,3,1,6,6,6,6,6,6,5,4,6,4,5,2,1,3,1,6,6,3,4,5,6,6,6,5,5,5,6,4,6,6,5,6,5,5,3,1,3,6,3,5,3,4,6,4,6,5,1,5,6,6,4,6,6,1,5,6,5,3,6,6,6,4,6,6,6,6,3,6,"I don't like working with others with ptsd its really hard to work with other people..they tend to piss me off","Qual2514-0709Const2",375,"anonymous",NA,"H","5c40b3ba-611e-408e-bf67-09c17be5ab8b",NA,NA,1,NA,"yes",0
"124",124,"17/01/2019 16:58","17/01/2019 17:04",0,"213.205.241.139",100,352,1,"17/01/2019 17:04","R_1Y9IZl2DntWSeeR",NA,NA,NA,NA,55.80870056,-3.936599731,"anonymous","EN","consent_academic,consent_teaching",2,"Top Management (with responsibilities for one or more managers)",NA,"Female","1978","Europe","UK","White",NA,"2",2,NA,"3 years","diversity_culture,diversity_language",6,6,6,6,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,NA,"Qual2514-0709Const2",352,"anonymous",NA,"H","5c40b42e-46d7-4612-8142-be4e4d5fd43c",NA,NA,1,NA,"yes",0
"125",125,"17/01/2019 17:02","17/01/2019 17:05",0,"82.132.185.235",100,218,1,"17/01/2019 17:05","R_w0qSLCHhbNLuh8d",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN","consent_academic,consent_teaching",2,"Middle Management (no subordinates/line-reports)",NA,"Male","1994","Europe","UK","White",NA,"1",1,"None","3 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,5,5,3,5,6,6,3,4,5,5,4,4,5,4,4,5,5,4,5,4,6,6,5,4,5,4,4,4,6,4,4,4,5,6,5,4,6,5,4,4,6,5,4,4,4,6,4,6,4,3,6,6,6,4,4,5,6,4,6,4,6,5,4,4,4,5,6,6,6,6,5,5,4,5,5,4,6,NA,"Qual2514-0709Const2",218,"anonymous",NA,"H","5c40b50c-a434-48bc-90f8-45abfd2579c6",NA,NA,1,NA,"yes",0
"126",126,"17/01/2019 17:01","17/01/2019 17:07",0,"213.205.241.56",100,353,1,"17/01/2019 17:07","R_3pkTx2sKu4T8vZI",NA,NA,NA,NA,55.80870056,-3.936599731,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1983","Europe","UK","White",NA,"1",2,"United States of America","2 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,5,5,5,5,3,5,5,5,5,5,5,4,4,5,5,5,3,3,5,5,5,5,5,4,5,4,4,4,3,5,4,4,5,5,5,5,4,5,4,3,5,5,4,5,5,5,5,4,4,5,5,4,4,5,5,6,6,5,4,5,4,4,4,5,5,4,4,3,5,4,4,5,NA,3,3,NA,4,"Nothing else.","Qual2514-0709Const2",353,"anonymous",NA,"H","5c40b4de-ce42-4650-812b-0452dbaa422c",NA,NA,1,NA,"no",0
"127",127,"17/01/2019 17:06","17/01/2019 17:10",0,"87.74.248.18",100,186,1,"17/01/2019 17:10","R_XtYLwpMf5VVSQcF",NA,NA,NA,NA,53.97169495,-1.586303711,"anonymous","EN","consent_academic,consent_teaching",2,"Middle (with subordinates/line-reports)",NA,"Male","1984","Europe","UK","White",NA,"1",1," O","9 years","diversity_culture,diversity_education,diversity_part_of_organisation",4,2,3,2,5,3,5,5,5,4,2,4,3,2,4,2,5,5,5,4,3,5,3,4,2,5,3,4,4,6,2,3,1,3,1,2,3,5,6,5,6,6,4,3,3,5,3,2,5,5,3,5,6,5,4,4,1,3,4,4,2,5,4,5,6,4,3,5,3,3,5,3,2,4,5,4,4,6," O","Qual2514-0709Const2",186,"anonymous",NA,"H","5c40b62b-6d6a-4cf2-9e36-340c372ffebe",NA,NA,1,NA,"yes",0
"129",129,"17/01/2019 17:06","17/01/2019 17:12",0,"85.255.233.153",100,348,1,"17/01/2019 17:12","R_2PpPuHliqSYo0pa",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Male","1981","Europe","UK","White",NA,"2",1,NA,"5 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,4,5,5,5,5,3,4,5,5,5,5,4,5,5,6,5,4,5,6,5,5,6,5,5,6,6,6,6,6,5,5,5,5,5,6,6,5,5,4,4,6,6,6,5,5,5,4,6,4,4,4,5,5,5,5,6,6,5,5,5,6,5,6,6,6,5,5,5,5,5,6,5,5,4,5,5,6,NA,"Qual2514-0709Const2",348,"anonymous",NA,"H","5c40b627-26c2-4ac8-8df1-448b751ea188",NA,NA,1,NA,"no",0
"130",130,"17/01/2019 17:08","17/01/2019 17:13",0,"89.246.78.30",100,273,1,"17/01/2019 17:13","R_3J58apje6Kgx4bI",NA,NA,NA,NA,51.07139587,13.73989868,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Male","1982","Europe","Germany","White",NA,"2",3,"Germany
South Africa
Nigeria","8 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,5,3,6,5,4,6,3,6,5,4,5,5,6,4,4,5,3,3,4,5,6,5,4,4,5,6,6,4,4,5,3,4,6,5,4,4,5,4,4,6,5,4,4,5,5,5,4,4,6,4,4,5,4,5,4,3,3,4,4,5,3,4,3,4,3,3,5,3,5,4,3,6,3,4,5,3,5,NA,"Qual2514-0709Const2",273,"anonymous",NA,"H","5c40b681-cf18-43c5-8e2f-a27dd2553eee",NA,NA,1,NA,"no",0
"133",133,"17/01/2019 17:12","17/01/2019 17:17",0,"2.98.53.46",100,321,1,"17/01/2019 17:17","R_Uz67bRsW4AlfcAx",NA,NA,NA,NA,53.61320496,-2.606796265,"anonymous","EN","consent_academic,consent_teaching",3,"Middle (with subordinates/line-reports)",NA,"Female","1965","Europe","UK","White",NA,"1",0,NA,"more than 20 years","diversity_culture,diversity_language,diversity_part_of_organisation,diversity_experience",4,6,5,5,5,3,6,5,5,5,4,4,3,2,5,4,5,2,2,3,5,6,6,6,4,5,6,5,6,4,5,4,5,4,6,6,5,4,5,5,4,6,6,5,5,6,5,5,5,4,4,5,4,3,4,5,5,6,6,5,6,4,5,4,6,5,3,5,2,5,4,2,6,2,4,5,2,5,NA,"Qual2514-0709Const2",321,"anonymous",NA,"H","5c40b763-b791-484f-9405-897f8af641be",NA,NA,1,NA,"yes",0
"134",134,"17/01/2019 17:10","17/01/2019 17:17",0,"80.187.108.167",100,429,1,"17/01/2019 17:17","R_120j4KebOXdLaO7",NA,NA,NA,NA,53.56660461,9.979995728,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Female","1966","Europe","Germany","White",NA,"3",2,"Germany, United States of America","10 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,5,2,5,2,1,5,1,2,1,5,4,5,6,5,1,1,1,1,1,5,5,5,5,5,3,2,1,4,1,5,5,5,5,5,5,5,2,1,3,3,3,2,1,5,4,4,4,4,2,2,2,1,3,5,5,4,3,5,5,4,2,2,3,4,2,2,2,4,4,4,4,4,2,2,4,3,2,NA,"Qual2514-0709Const2",429,"anonymous",NA,"H","5c40b6ff-7afa-45ac-9233-78559c2e6978",NA,NA,1,NA,"no",0
"139",139,"17/01/2019 17:15","17/01/2019 17:19",0,"71.245.61.55",100,280,1,"17/01/2019 17:19","R_1eravmR0MPGKnyl",NA,NA,NA,NA,40.79769897,-77.04679871,"anonymous","EN","consent_academic,consent_teaching",2,"Top Management (with responsibilities for one or more managers)",NA,"Female","1977","Americas","US","White",NA,"1",1,NA,"14 years","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,5,5,6,6,6,6,6,6,6,5,3,5,6,6,3,6,6,6,6,6,6,2,2,5,NA,5,"N/A","Qual2514-0709Const2",280,"anonymous",NA,"H","5c40b811-6da3-4f82-96e2-3c177f3c5ae7",NA,NA,1,NA,"yes",0
"140",140,"17/01/2019 17:13","17/01/2019 17:19",0,"95.91.211.79",100,359,1,"17/01/2019 17:19","R_3CK3GJgEP5ByNkm",NA,NA,NA,NA,52.46260071,13.3184967,"anonymous","EN","consent_academic,consent_teaching",5,"Middle Management (no subordinates/line-reports)",NA,"Male","1986","Europe","Germany","White",NA,"2",2,"France and Germany","1 year","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,5,5,5,5,5,3,4,6,6,5,6,5,6,6,4,6,6,5,6,5,6,6,6,4,5,6,6,5,6,6,5,5,5,6,5,4,5,5,5,5,4,4,6,6,5,5,6,6,6,5,4,5,6,5,5,5,6,6,4,5,4,2,5,5,6,5,4,6,5,5,6,5,5,4,4,5,NA,"Qual2514-0709Const2",359,"anonymous",NA,"H","5c40b7c2-7e4c-4bda-93e0-1e340a9d23fd",NA,NA,1,NA,"yes",0
"141",141,"17/01/2019 17:17","17/01/2019 17:21",0,"88.105.164.241",100,236,1,"17/01/2019 17:21","R_V4hvLzTKsdN5QGt",NA,NA,NA,NA,51.7973938,-2.424804688,"anonymous","EN","consent_academic,consent_teaching",6,"Middle (with subordinates/line-reports)",NA,"Female","1991","Europe","UK","Asian",NA,"2",1,"United kingdom ","5 years","diversity_culture,diversity_education",6,5,6,5,6,6,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,6,6,5,5,5,6,6,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,NA,"Qual2514-0709Const2",236,"anonymous",NA,"H","5c40b892-01c6-4ed6-ba6e-40cb3805dab9",NA,NA,1,NA,"yes",0
"142",142,"17/01/2019 17:16","17/01/2019 17:21",0,"188.29.165.204",100,293,1,"17/01/2019 17:21","R_3saUMbXn5KdCJG5",NA,NA,NA,NA,51.52319336,-0.157806396,"anonymous","EN","consent_academic,consent_teaching",5,"Top Management (with responsibilities for one or more managers)",NA,"Female","1994","Europe","UK","White",NA,"3",3,"Switzerland
Sweden","1 year","diversity_culture,diversity_part_of_organisation,diversity_experience",6,6,6,4,6,3,3,3,4,6,6,5,6,4,6,6,3,6,5,6,6,6,6,6,5,2,2,2,2,6,6,5,5,4,6,6,6,4,NA,3,4,3,4,4,6,6,6,6,6,4,4,4,4,4,5,6,6,6,6,5,6,2,2,2,2,2,2,2,4,5,4,4,5,2,2,2,1,2,NA,"Qual2514-0709Const2",293,"anonymous",NA,"H","5c40b85c-6d64-44a2-974a-deb1a141b5ce",NA,NA,1,NA,"yes",1
"144",144,"17/01/2019 17:18","17/01/2019 17:23",0,"95.145.252.108",100,281,1,"17/01/2019 17:23","R_3eaBpKM04vwY96W",NA,NA,NA,NA,51.15629578,-0.124603271,"anonymous","EN","consent_academic,consent_teaching",5,"Apprenticeship/Trainee/Junior employee",NA,"Female","1988","Europe","UK","White",NA,"2",1,"Belgium ","4 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,5,5,6,5,3,4,4,3,5,5,3,5,5,4,5,3,3,5,4,6,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,4,3,5,5,4,4,4,6,5,5,5,5,5,4,5,4,5,5,5,6,5,5,5,6,5,5,6,6,6,NA,6,5,5,4,4,5,5,5,5,5,4,"None","Qual2514-0709Const2",281,"anonymous",NA,"H","5c40b8eb-048f-4b6d-a6c9-eac49a955e31",NA,NA,1,NA,"no",1
